#主分类(中文)	HPO编号	名称(英文)	定义(英文)	中文译名	中文定义
骨骼系统异常	HP:0005198	Stiff interphalangeal joints	Interphalangeal joint stiffness is a perceived sensation of tightness in the interphalangeal joints when attempting to move them after a period of inactivity.	指关节僵硬	指关节僵硬是一种在一段时间不活动后试图活动手指时不灵活的感觉。
肌肉组织异常,消化系统异常	HP:0005199	aplasia of the abdominal wall musculature	Absence of the `abdominal musculature` (FMA:86917).	腹壁肌肉发育不全	腹壁肌群缺失。
消化系统异常	HP:0005200	Retroperitoneal fibrosis	#####	腹膜后纤维化	#####
心血管系统异常,消化系统异常	HP:0005201	Anomalous splenoportal venous system	#####	异常脾门静脉系统	#####
消化系统异常,免疫系统异常	HP:0005202	Helicobacter pylori infection	#####	幽门螺杆菌感染	#####
消化系统异常	HP:0005203	Spontaneous esophageal perforation	The occurrence of the full-thickness tear (perforation) of the wall of the esophagus.	自发性食管穿孔	食管壁发生全层撕裂（穿孔）。
消化系统异常	HP:0005206	Pancreatic pseudocyst	Cyst-like space not lined by epithelium and contained within the pancreas. Pancreatic pseudocysts are often associated with pancreatitis.	胰腺假性囊肿	位于胰腺内、未被覆上皮细胞的囊肿样空间。胰腺假性囊肿通常与胰腺炎有关。
消化系统异常	HP:0005207	Gastric hypertrophy	`Hypertrophy` (MPATH:159) of the `stomach` (FMA:7148).	胃肥大	`胃部肥大。
消化系统异常	HP:0005208	Secretory diarrhea	Watery voluminous diarrhea resulting from an imbalance between  ion and water secretion and absorption.	分泌性腹泻	由于离子和水的分泌与吸收的不平衡而产生的大量水样腹泻。
消化系统异常	HP:0005209	Intrahepatic bile duct cysts	The presence of `cyst` (MPATH:62) of the `intrahepatic bile duct` (FMA:15766).	肝内胆管囊肿	存在于肝内胆管的囊肿。
消化系统异常	HP:0005210	Hypoplastic colon	Underdevelopment of the colon.	结肠发育不良	结肠的发育不良。
消化系统异常	HP:0005211	Midgut malrotation	#####	中肠旋转不良	#####
消化系统异常	HP:0005212	Anal mucosal leukoplakia	Leukoplakia is a precancerous dermatosis of mucous membranes analogous Leukoplakia is basically a chronic inflammatory hypertrophy in which anaplasia and malignant dyskeratosis may develop and subsequently advance to an invasive squamous cell cancer. The clinical diagnosis of primary anal leukoplakia is indicated by single or multiple slightly raised,irregular, marginated, grayish-white keratinized&#39; patches in the anal canal. Tissue biopsy is necessary for confirmation.	肛门粘膜白斑	白斑是粘膜类似物的一种癌前皮肤病变。白斑本质上是一种慢性炎症性肥大，可能会发展为间变及恶性异常角化，随后进展至侵袭性鳞状细胞癌。位于肛管的单个或多个微微隆起、不规则、有边缘的、灰白色角化的白斑，可提示原发性肛门白斑的临床诊断。确认须进行组织活检。
消化系统异常,骨骼系统异常	HP:0005213	Pancreatic calcification	The presence of abnormal `calcium deposition` (MPATH:36) lesions in the `pancreas` (FMA:7198).	胰腺钙化	胰腺存在的异常钙质沉积。
消化系统异常	HP:0005214	Intestinal obstruction	Blockage or impairment of the normal flow of the contents of the intestine towards the anal canal.	肠梗阻	肠内容物向肛管的正常流动受到阻塞或损害。
消化系统异常,免疫系统异常	HP:0005215	Frequent Giardia lamblia infestation	Increased susceptibility to Giardia lamblia infection of the intestine, as manifested by a medical history of multiple episodes of Giardia lamblia intestinal infection.	频繁蓝氏贾第鞭毛虫感染	肠道对蓝氏贾第鞭毛虫感染的易感性增加，表现为蓝氏贾第鞭毛虫肠道感染多次发作的病史。
神经系统异常,消化系统异常	HP:0005216	Chewing difficulties	#####	咀嚼困难	#####
消化系统异常	HP:0005217	Duplication of internal organs	#####	内部器官重复	#####
泌尿生殖系统异常,消化系统异常	HP:0005218	Anoperineal fistula	The presence of a fistula (abnormal tunnel) between the `anal canal` (FMA:15703) and the `perineum` (FMA:9579).	肛门会阴瘘	肛门和会阴之间存在瘘道（异常通道）。
消化系统异常	HP:0005219	Absence of intrinsic factor	Absence of `gastric intrinsic factor` (PRO:000007975), which is normally produced by the parietal cells of the stomach, and is required for the absorption of vitamin B12.	内因子缺乏	“胃内因子”的缺失，该因子一般由胃的壁细胞产生，为维生素B12的吸收所必需。
肿瘤,神经系统异常,消化系统异常,体壁的异常	HP:0005220	Multiple intestinal neurofibromatosis	#####	多发性肠神经纤维瘤病	#####
消化系统异常	HP:0005222	Bowel diverticulosis	The presence of `multiple` (PATO:0002118) `diverticula` (MPATH:68) of the `intestine` (FMA:7199).	肠憩室病	肠道存在多发憩室。
消化系统异常	HP:0005223	Duplicated colon	#####	重复结肠	#####
消化系统异常,免疫系统异常	HP:0005224	Rectal abscess	A collection of pus in the area of the rectum.	直肠脓肿	脓液在直肠区域积聚。
消化系统异常,代谢紊乱/稳态失衡	HP:0005225	Intestinal edema	Accumulation of cell free, noninflammatony fluid within the wall of the intestinal tract producing uniform thickening of the mucosal folds.	肠道水肿	肠壁内无细胞、非炎性的液体积聚，导致粘膜皱襞的均匀增厚。
肿瘤,消化系统异常	HP:0005227	Adenomatous colonic polyposis	Presence of multiple adenomatous polyps in the colon.	腺瘤性结肠息肉病	存在于结肠的多发腺瘤性息肉。
消化系统异常	HP:0005229	Jejunoileal ulceration	#####	空回肠溃疡	#####
消化系统异常	HP:0005230	Biliary tract obstruction	`Obstruction` (MPATH:80) affecting the `biliary tree` (FMA:14665).	胆道梗阻	胆管树的梗阻。
消化系统异常	HP:0005231	Chronic gastritis	A `chronic` form of `gastritis` (HP:0005263).	慢性胃炎	一种慢性形式的胃炎。
消化系统异常	HP:0005232	Pancreatic cysts	The presence of `developmental dysplasia` (MPATH:64) of the `pancreas` (FMA:7198).	胰腺囊肿	胰腺存在发育异常。
消化系统异常	HP:0005233	Hypoplasia of the gallbladder	The presence of a `hypoplastic` (PATO:0000645) `gallbladder` (FMA:7202).	胆囊发育不良	胆囊存在发育不全。
消化系统异常	HP:0005234	Neonatal intestinal obstruction	#####	新生儿肠梗阻	#####
消化系统异常	HP:0005235	Jejunal atresia	A developmental defect resulting in abnormal closure, or `atresia` (PATO:0001819) of the tubular structure of the `jejunum` (FMA:7207).	空肠闭锁	导致空肠管状结构异常闭合或“闭锁”的发育缺陷。
消化系统异常,免疫系统异常	HP:0005236	Chronic calcifying pancreatitis	A form of `chronic pancreatitis` (HP:0006280) that is characterized by `calcification` (PATO:0001447).	慢性钙化性胰腺炎	一种以钙化为特征的慢性胰腺炎。
消化系统异常	HP:0005237	Degenerative liver disease	The presence of `degenerative` (PATO:0000639) changes of the `liver` (FMA:7197).	退行性肝病	肝脏存在退行性改变。
肿瘤,消化系统异常	HP:0005238	Discrete intestinal polyps	#####	分散性肠息肉	#####
消化系统异常	HP:0005240	Esophageal obstruction	#####	食管梗阻	#####
神经系统异常,消化系统异常	HP:0005241	Total intestinal aganglionosis	A congenital defect characterized by the lack of ganglion cells in the entire intestine, i.e., the aganglionic segment comprises the entire large and small bowel.	完全性肠神经节细胞缺乏	一种先天性缺陷，特点是整个肠道缺少神经节细胞，即无神经节节段包括整个大小肠。
消化系统异常	HP:0005242	Extrahepatic biliary duct atresia	`Atresia` (PATO:0001819) in the `extrahepatic bile duct` (FMA:14678).	肝外胆道闭锁	`发生于肝外胆道的闭锁。
肌肉组织异常,消化系统异常	HP:0005243	Partial abdominal muscle agenesis	Failure to form of portions  of the `abdominal musculature` (FMA:86917).	局部腹肌发育不全	一部分腹部肌肉未能形成。
消化系统异常	HP:0005244	Gastrointestinal infarctions	#####	胃肠道梗塞	#####
消化系统异常	HP:0005245	Intestinal hypoplasia	Developmental hypoplasia of the `intestine` (FMA:7199).	肠道发育不良	肠的发育不良。
消化系统异常	HP:0005246	Giant hypertrophic gastritis	A type of `gastritis` (HP:0005263) characterized by excessive proliferation of the gastric mucosa and diffuse thickening of the gastric mucosal folds.	巨大肥厚性胃炎	一种胃炎，其特征为胃粘膜过度增生和胃粘膜皱襞弥漫性增厚。
肌肉组织异常,消化系统异常	HP:0005247	Hypoplasia of the abdominal wall musculature	Underdevelopment of the `abdominal musculature` (FMA:86917).	腹壁肌肉发育不良	腹壁肌肉的发育不良。
消化系统异常	HP:0005248	Intrahepatic biliary atresia	`Atresia` (PATO:0001819) in the `intrahepatic bile duct` (FMA:15766).	肝内胆道闭锁	肝内胆道的闭锁。
消化系统异常	HP:0005249	Functional intestinal obstruction	#####	功能性肠梗阻	#####
消化系统异常	HP:0005250	High intestinal obstruction	#####	高位肠梗阻	#####
骨骼系统异常	HP:0005253	Increased anterioposterior diameter of thorax	#####	胸廓前后径增大	#####
骨骼系统异常	HP:0005254	Unilateral chest hypoplasia	#####	单侧胸部发育不全	#####
肌肉组织异常	HP:0005255	Absence of pectoralis minor muscle	Aplasia (congenital absence) of the `pectoralis minor` (FMA:13109).	胸小肌缺失	“胸小肌”先天性缺失。
肌肉组织异常	HP:0005256	Unilateral absence of pectoralis major muscle	Aplasia (congenital absence) of the `pectoralis major` (FMA:13109) on only one side of the chest.	单边无胸大肌	只有一侧胸部无胸大肌。
骨骼系统异常	HP:0005257	Thoracic hypoplasia	#####	胸廓发育不全	#####
肌肉组织异常,肢体异常	HP:0005258	Pectoral muscle hypoplasia/aplasia	#####	胸肌发育缺陷/不全	#####
骨骼系统异常	HP:0005259	Abnormal facility in opposing the shoulders	Abnormal facility in opposing the shoulders means the abnormal facility of the other of shoulders.	对侧肩膀异常运动（双肩的对称性异常）	对侧肩膀异常运动是指维持双肩对称性的异常。
心血管系统异常,骨骼系统异常,血液和造血组织异常	HP:0005261	Joint hemorrhage	`Hemorrhage` (MPATH:119) occurring within a `joint` (FMA:7490).	关节出血	关节（FMA:7490）内发生出血（MPATH:119）。
骨骼系统异常	HP:0005262	Abnormality of the synovia	#####	滑膜异常	#####
消化系统异常	HP:0005263	Gastritis	The presence of `inflammation` (MPATH:212) of the `gastric mucous membrane` (FMA:14907).	胃炎	存在于胃粘膜的炎症。
消化系统异常	HP:0005264	Abnormality of the gallbladder	An abnormality of the `gallbladder` (FMA:7202).	胆囊异常	胆囊的异常。
消化系统异常	HP:0005265	Abnormality of the jejunum	An abnormality of the `jejunum` (FMA:7207), i.e., of the middle section of the small intestine.	空肠异常	空肠（即小肠的中间部分）的异常。
肿瘤,消化系统异常	HP:0005266	Intestinal polyp	A discrete abnormal tissue mass that protrudes into the lumen of the intestine and is attached to the intestinal wall either by a stalk, pedunculus, or a broad base.	肠息肉	通过蒂、脚或较宽基底附着于肠壁、伸出至肠腔的离散的异常组织块。
胎儿产前发育或出生异常	HP:0005267	Premature delivery because of cervical insufficiency or membrane fragility	#####	宫颈机能不全或胎膜脆性原因导致的早产	#####
胎儿产前发育或出生异常	HP:0005268	Spontaneous abortion	A pregnancy that ends at a stage in which the fetus is incapable of surviving on its own, defined as the spontaneous loss of a fetus before the 20th week of pregnancy.	自然流产	妊娠终止时，在这一个阶段，胎儿不能依靠自身而存活，可定义为发生于妊娠20周之前的胎儿自然丢失。
